scheme_code,scheme_name,date,nav,plan_type
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-28,11.97,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-29,12.05,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-30,12.16,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-31,12.2,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-01,12.32,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-04,12.49,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-05,12.53,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-06,12.48,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-07,12.44,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-08,12.53,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-11,12.54,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-12,12.42,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-13,12.39,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-18,12.22,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-19,12.06,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-20,12.1,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-21,12.23,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-22,12.13,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-25,11.97,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-26,12.09,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-27,11.98,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-28,12.08,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-04-29,11.99,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-02,11.9,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-04,11.63,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-05,11.64,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-06,11.45,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-05-09,11.34,Regular
